iter	MultiClass
286	0.1930359385
287	0.1928146566
288	0.1926318414
289	0.1924901919
290	0.192383092
291	0.1921566598
292	0.1918503209
293	0.1916314423
294	0.1913825585
295	0.1912100559
296	0.1909904153
297	0.1908084546
298	0.1906740537
299	0.1905329929
300	0.190338813
301	0.1902033364
302	0.1900568325
303	0.1898244867
304	0.1897166557
305	0.1895218649
306	0.1893266947
307	0.1892494714
308	0.1891120451
309	0.1890272901
310	0.1889352834
311	0.1887968895
312	0.1886765385
313	0.1885046595
314	0.188228311
315	0.188019333
316	0.1878322816
317	0.1877712061
318	0.1874632118
319	0.1873363537
320	0.1872263335
321	0.1870050452
322	0.1868110476
323	0.1867116256
324	0.1865452781
325	0.1863415659
326	0.1862640075
327	0.1859859457
328	0.1857644266
329	0.1855707743
330	0.1852705993
331	0.1851001339
332	0.1849486967
333	0.1847585174
334	0.1844730943
335	0.1843527781
336	0.1841184005
337	0.1838478439
338	0.1837173713
339	0.1835173767
340	0.1833566111
341	0.1831398919
342	0.1830763441
343	0.1829413874
344	0.1828765035
345	0.182669835
346	0.1825091458
347	0.1822945047
348	0.1822109241
349	0.1820742261
350	0.1819272105
351	0.1816970026
352	0.1815392437
353	0.1814238582
354	0.1812595657
355	0.1811807216
356	0.1809904068
357	0.1808473422
358	0.1807887716
359	0.1806912281
360	0.180533763
361	0.1803660182
362	0.1802653974
363	0.1801057684
364	0.1799483015
365	0.1798779073
366	0.1797410753
367	0.1796065274
368	0.1794536111
369	0.1791725371
370	0.1791206674
371	0.1789772758
372	0.1788064969
373	0.1786087523
374	0.1783052828
375	0.1781753823
376	0.1781319634
377	0.177955061
378	0.1778435638
379	0.1777595744
380	0.1776776938
381	0.1775104456
382	0.1772842976
383	0.1771313311
384	0.1769821057
385	0.1768937119
386	0.1767319529
387	0.1766054548
388	0.1764893812
389	0.1763120016
390	0.1761452778
391	0.1760144944
392	0.1758876493
393	0.1757213133
394	0.1755649855
395	0.1752741982
396	0.1750358304
397	0.1748001311
398	0.1747518574
399	0.1745995031
400	0.1743710744
401	0.1741505303
402	0.1740357197
403	0.1738158695
404	0.1736601339
405	0.173457368
406	0.1732761805
407	0.1731293099
408	0.1730533879
409	0.1728444198
410	0.1726520856
411	0.1724837172
412	0.1722738372
413	0.1721576549
414	0.1721147719
415	0.1720063486
416	0.1718102478
417	0.171599685
418	0.1713723102
419	0.1712131291
420	0.1711313151
421	0.1710008535
422	0.1708676398
423	0.1707900646
424	0.1707270096
425	0.1705871056
426	0.1704493808
427	0.1703111579
428	0.1701566974
429	0.1700378293
430	0.1699125526
431	0.1697693313
432	0.1696007021
433	0.1693692455
434	0.169270917
435	0.1690293348
436	0.1689116771
437	0.1687380874
438	0.1686153289
439	0.1685341102
440	0.1683323051
441	0.1681487403
442	0.1680215539
443	0.1678839948
444	0.1678402682
445	0.1676875926
446	0.1675450659
447	0.1673694814
448	0.1672433644
449	0.1670921857
450	0.1669473937
451	0.1667847532
452	0.1667124255
453	0.1666047815
454	0.1665066206
455	0.166373103
456	0.1662556804
457	0.1661230552
458	0.1659114792
459	0.1657697778
460	0.1656685715
461	0.1655396395
462	0.1654436814
463	0.165295295
464	0.165190666
465	0.1650362672
466	0.1649112747
467	0.1647813562
468	0.1646803552
469	0.164531409
470	0.1644277624
471	0.1643194882
472	0.1642393348
473	0.1641015319
474	0.1640226242
475	0.1639202898
476	0.1637999874
477	0.1637165284
478	0.1636339449
479	0.1635111523
480	0.1633156443
481	0.1631927799
482	0.1631309859
483	0.1630519065
484	0.162920267
485	0.1627132971
486	0.1625936624
487	0.1624766627
488	0.1624056579
489	0.1623036268
490	0.1621922273
491	0.1619683006
492	0.1618611983
493	0.1617700627
494	0.1615984819
495	0.1614841961
496	0.1614043904
497	0.1612946624
498	0.161237465
499	0.1611153388
500	0.1610665004
501	0.1609003002
502	0.1607123984
503	0.1606447785
504	0.1604320675
505	0.1603450237
506	0.1602218943
507	0.160112999
508	0.1599630038
509	0.1599002224
510	0.1598539775
511	0.159707444
512	0.1596021585
513	0.1595190856
514	0.1594133939
515	0.1593125967
516	0.1592204569
517	0.1591546502
518	0.1590889571
519	0.1589731939
520	0.1588477705
521	0.1587138666
522	0.158576857
523	0.1584640064
524	0.1583783105
525	0.1583139828
526	0.1581952523
527	0.1580239875
528	0.1579178647
529	0.1577909182
530	0.1576989311
531	0.1576272449
532	0.1575104476
533	0.1573701312
534	0.157305763
535	0.1570889205
536	0.1569186343
537	0.1568441997
538	0.1567357985
539	0.1565530671
540	0.1564666307
541	0.156340454
542	0.156217539
543	0.1560839088
544	0.1559546597
545	0.1558308439
546	0.1557872736
547	0.1556421228
548	0.1555967356
549	0.1554881633
550	0.1554029848
551	0.1553831488
552	0.1553023773
553	0.1551815695
554	0.1550881998
555	0.1549928765
556	0.1548723893
557	0.1547919252
558	0.15471395
559	0.1546355433
560	0.1545441988
561	0.1544224467
562	0.1542751389
563	0.1542179134
564	0.1541130833
565	0.1539374751
566	0.1537920193
567	0.1536891465
568	0.1535730689
569	0.1533961187
570	0.1533167782
571	0.1531839081
572	0.1530325661
573	0.1529686132
574	0.1528071705
575	0.1527165678
576	0.1526240272
577	0.1525555143
578	0.1524546902
579	0.1522946707
580	0.1521895196
581	0.1520312767
582	0.1519458512
583	0.1518696104
584	0.1517683702
585	0.1516905497
586	0.1516195352
587	0.1515183781
588	0.1514749769
589	0.1513678574
590	0.151265632
591	0.1511905406
592	0.1511286691
593	0.1510422055
594	0.150880832
595	0.1508494846
596	0.1508056105
597	0.1507620007
598	0.1506085845
599	0.1504538291
600	0.1503442702
601	0.1502997864
602	0.1502106707
603	0.150116408
604	0.1498956344
605	0.1498407225
606	0.1496833929
607	0.1496200079
608	0.1495200253
609	0.1494472377
610	0.1493568855
611	0.1491789852
612	0.1491132854
613	0.149038854
614	0.1489563207
615	0.1488573016
616	0.1487698016
617	0.1486948162
618	0.1486187972
619	0.1485242599
620	0.1484275693
621	0.1482872352
622	0.1482190507
623	0.1481786232
624	0.1481535546
625	0.1480503168
626	0.1479804565
627	0.1478038074
628	0.1477243201
629	0.1476366464
630	0.1475024129
631	0.1474328779
632	0.1473544939
633	0.1471844154
634	0.1470082348
635	0.1469072147
636	0.1467737205
637	0.1466250862
638	0.146526109
639	0.1463733847
640	0.1462481822
641	0.1460972102
642	0.1459848737
643	0.14593615
644	0.1457853144
645	0.1457232545
646	0.1456924394
647	0.1456224955
648	0.1455398809
649	0.1454587414
650	0.1453548576
651	0.1452237649
652	0.1450645059
653	0.1449927264
654	0.1449341498
655	0.1448107865
656	0.1447712414
657	0.1447335459
658	0.1446170595
659	0.1444760705
660	0.1444477152
661	0.1443562539
662	0.1443227049
663	0.1442308509
664	0.1441105327
665	0.1440265523
666	0.1439045768
667	0.1438654581
668	0.1437424205
669	0.1436920268
670	0.1436218219
671	0.1435750824
672	0.1435140971
673	0.1434516144
674	0.1433782545
675	0.1432782845
676	0.1431574597
677	0.1430171353
678	0.1429835513
679	0.1428994983
680	0.1427619856
681	0.1426624933
682	0.1425675266
683	0.1424337089
684	0.142317378
685	0.1422398655
686	0.1421378662
687	0.1420473475
688	0.1419625974
689	0.1419176942
690	0.1418106189
691	0.1417445031
692	0.1416794018
693	0.1416063557
694	0.1415309294
695	0.1414217774
696	0.1412913789
697	0.1412029689
698	0.1411447079
699	0.1410775158
700	0.1410449031
701	0.1410138116
702	0.1409413378
703	0.1408632853
704	0.1407445779
705	0.1406477625
706	0.1405981088
707	0.1405114285
708	0.1404530851
709	0.1403828176
710	0.1403524256
711	0.1402593838
712	0.1401485817
713	0.1400797385
714	0.1400147594
715	0.1398515519
716	0.1397377705
717	0.1396494767
718	0.1396169426
719	0.1395004677
720	0.1393815866
721	0.1393082582
722	0.1392135197
723	0.1391211445
724	0.1390559113
725	0.1389890873
726	0.1389320243
727	0.1388479652
728	0.1387842677
729	0.1386791311
730	0.1385673144
731	0.1385034532
732	0.1384178758
733	0.138355649
734	0.1383214361
735	0.1382461759
736	0.1381601498
737	0.1380590735
738	0.1379571013
739	0.1379059569
740	0.1378467611
741	0.1377871313
742	0.1377060208
743	0.137623842
744	0.1375619836
745	0.1374406832
746	0.1373991145
747	0.1373363496
748	0.1372273225
749	0.1371908691
750	0.1371483456
751	0.1370678788
752	0.1369910155
753	0.1369295804
754	0.1368691892
755	0.1367777051
756	0.1367107354
757	0.1366141372
758	0.1365268836
759	0.1364910387
760	0.1364571485
761	0.1363825128
762	0.1363285982
763	0.136270476
764	0.1361858073
765	0.1361398029
766	0.1359849233
767	0.1358914983
768	0.1358155859
769	0.1357265124
770	0.1356563807
771	0.1355991559
772	0.1355149354
773	0.1353447407
774	0.1353141823
775	0.1352695042
776	0.135242709
777	0.1351393349
778	0.1350495304
779	0.1349947162
780	0.1348983255
781	0.1347988291
782	0.1346810063
783	0.1345534994
784	0.1344403606
785	0.1343307129
786	0.1341963246
787	0.1340922907
788	0.1340726721
789	0.1339792857
790	0.1339640575
791	0.133915352
792	0.1338566445
793	0.1337331106
794	0.1336708733
795	0.1335666073
796	0.1334445257
797	0.1333739811
798	0.1332563039
799	0.1332135579
800	0.1331266315
801	0.1330659176
802	0.133014186
803	0.1329358733
804	0.132859433
805	0.1328078833
806	0.1326686849
807	0.1326037227
808	0.1325040016
809	0.1324406357
810	0.1323304398
811	0.1322856635
812	0.1321979316
813	0.1321435509
814	0.1320482006
815	0.1320091278
816	0.1319115369
817	0.1318626663
818	0.1318139488
819	0.1317722285
820	0.1317189108
821	0.1316949803
822	0.1316374125
823	0.1315953378
824	0.1315324787
825	0.1315029686
826	0.1313780368
827	0.1313452186
828	0.1312824342
829	0.1312403933
830	0.1311381589
831	0.1310783327
832	0.1310332803
833	0.1309276221
834	0.1308732345
835	0.1307396545
836	0.1306430707
837	0.1305461421
838	0.1304334784
839	0.1303224019
840	0.1302398319
841	0.1301020659
842	0.1300186447
843	0.129939001
844	0.1298361893
845	0.1297536485
846	0.129644578
847	0.1296236505
848	0.1295280645
849	0.1294254767
850	0.1293416196
851	0.1292979327
852	0.1292280194
853	0.1291488547
854	0.1290471348
855	0.1289526183
856	0.1288906831
857	0.128757739
858	0.128664012
859	0.1285928981
860	0.1285345332
861	0.1284049082
862	0.1282944255
863	0.1281906603
864	0.1281068157
865	0.1280709436
866	0.1280079966
867	0.1279122811
868	0.1278116398
869	0.1277318935
870	0.127680439
871	0.127617466
872	0.1275367628
873	0.1274892041
874	0.1273940728
875	0.1273598507
876	0.1272648147
877	0.1272055239
878	0.127099829
879	0.1270800407
880	0.1269934488
881	0.1269195449
882	0.1268659015
883	0.1268408552
884	0.1267833896
885	0.1267181909
886	0.1266945346
887	0.126620394
888	0.12656849
889	0.1264889029
890	0.1263914103
891	0.1263005094
892	0.1262629435
893	0.1262289236
894	0.1260923554
895	0.1259608041
896	0.1258941193
897	0.1258157072
898	0.1257481969
899	0.1256799678
900	0.1255705013
901	0.1255216017
902	0.1254963011
903	0.1254361609
904	0.1253542023
905	0.1252687324
906	0.1252390081
907	0.1251619781
908	0.1250813027
909	0.1250205967
910	0.1249074916
911	0.124814807
912	0.1247674172
913	0.1247214814
914	0.1246457591
915	0.1245517043
916	0.1244557909
917	0.12440373
918	0.1243370706
919	0.1242862339
920	0.1242150016
921	0.1241707461
922	0.1241126252
923	0.124035612
924	0.1239759052
925	0.1238392089
926	0.1237960234
927	0.1237303504
928	0.1236724432
929	0.1236309031
930	0.1235552277
931	0.1235292782
932	0.1234517362
933	0.1233873431
934	0.1233288476
935	0.1232566434
936	0.1232048422
937	0.1231517574
938	0.1231211106
939	0.1230444071
940	0.1229943001
941	0.1229525836
942	0.1228825232
943	0.1228304573
944	0.1227531634
945	0.1227146102
946	0.1226341857
947	0.1225845791
948	0.1225706736
949	0.1225283979
950	0.1224535251
951	0.1223837929
952	0.1223323672
953	0.1222569879
954	0.1222175632
955	0.122170942
956	0.1221296509
957	0.1220511957
958	0.1219965893
959	0.1219575574
960	0.1218870685
961	0.1217639912
962	0.1216917755
963	0.1216342412
964	0.1215965825
965	0.1214853029
966	0.1214255307
967	0.1213290687
968	0.1212505412
969	0.1211513672
970	0.1210768987
971	0.1210256337
972	0.1209530552
973	0.120879717
974	0.1208129279
975	0.1207528419
976	0.1207185548
977	0.1206501843
978	0.120537367
979	0.1204841436
980	0.12043763
981	0.1203979786
982	0.1203732119
983	0.1203145756
984	0.1202507393
985	0.1202246085
986	0.1201371874
987	0.1200571057
988	0.120000965
989	0.1199243702
990	0.119889034
991	0.1198408058
992	0.1197827979
993	0.119720534
994	0.1196564162
995	0.1196174895
996	0.119552236
997	0.1194678491
998	0.1193900915
999	0.1193084006
